generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	1565	10	0.95294	het	-0.0181356	0.0121622
100000	1565	10	0.95294	het	-0.164968	0.0605443
100000	1565	10	0.95294	het	-0.00481416	0.410078
100000	1565	10	0.95294	het	-0.138148	0.0976696
100000	1565	10	0.95294	het	-0.00296958	0.0443619
100000	1565	10	0.95294	het	-0.0754853	0.00102414
100000	1565	10	0.95294	het	-0.0808752	0.265846
100000	122	7	0.847827	het	-0.155438	0.0598561
100000	122	7	0.847827	het	-0.0748102	0.0160584
100000	122	7	0.847827	het	-0.341723	0.00150624
100000	122	7	0.847827	het	-0.841091	0.0461312
100000	122	7	0.847827	het	-0.563715	0.156479
100000	122	7	0.847827	het	-0.0808752	0.265846
100000	1731	4	0.969283	het	-0.40052	0.0707302
100000	1731	4	0.969283	het	-0.00296958	0.0443619
100000	3129	6	0.983973	het	-0.00568657	0.270534
100000	3129	6	0.983973	het	-0.748975	0.0170721
100000	3129	6	0.983973	het	-0.0186269	0.000719047
100000	3129	6	0.983973	het	-0.0026701	0.464848
100000	3129	6	0.983973	het	-0.00296958	0.0443619
